symbol,date,open,high,low,close,volume,adjusted,daily_return
XLY,2018-01-02,99.110001,100.190002,99.110001,100.190002,4895600,98.949463,0.01519913713658294
XLY,2018-01-03,100.290001,100.730003,100.269997,100.650002,5319000,99.40377,0.004591303340372832
XLY,2018-01-04,101.040001,101.110001,100.459999,100.980003,3457400,99.729675,0.0032785979847647084
XLY,2018-01-05,101.43,101.830002,101.199997,101.779999,4294400,100.519768,0.007922346082046339
XLY,2018-01-08,101.830002,102.07,101.699997,101.900002,2670000,100.638283,0.0011790218218570292
XLY,2018-01-09,102.199997,102.339996,101.760002,102.099998,3160900,100.835808,0.00196272227736638
XLY,2018-01-10,101.730003,102.169998,101.489998,102.029999,2838900,100.76667,-6.856492883956511e-4
XLY,2018-01-11,102.279999,103.699997,102.18,103.690002,3622700,102.40612,0.01626976459577345
XLY,2018-01-12,103.889999,105.07,103.760002,105.029999,4037800,103.729523,0.012923085065619011
XLY,2018-01-16,105.559998,106.019997,104.010002,104.279999,9251600,102.988815,-0.007140763579911558
XLY,2018-01-17,104.769997,104.989998,104.120003,104.779999,6653900,103.482613,0.004794676004379772
XLY,2018-01-18,104.739998,104.919998,104.419998,104.690002,3292300,103.393738,-8.588399289840565e-4
XLY,2018-01-19,105.190002,105.610001,104.870003,105.599998,3760400,104.29246500000001,0.008692276895918116
XLY,2018-01-22,105.589996,106.769997,105.5,106.769997,7752300,105.447983,0.011079592375153657
XLY,2018-01-23,107.339996,107.800003,107.129997,107.669998,4154900,106.336838,0.008429321971952897
XLY,2018-01-24,108.150002,108.760002,107.160004,108.129997,6463800,106.791138,0.0042722729822002314
XLY,2018-01-25,108.589996,108.669998,107.470001,107.940002,5070800,106.6035,-0.0017570559085156034
XLY,2018-01-26,108.18,109,107.910004,109,3916300,107.650375,0.009820268565291057
XLY,2018-01-29,108.889999,109.339996,108.459999,108.699997,6355200,107.35408,-0.002752382423191757
XLY,2018-01-30,107.889999,108.580002,107.540001,108.160004,5284100,106.82077,-0.004967766478926605
XLY,2018-01-31,108.660004,109.040001,107.580002,107.809998,9451100,106.475105,-0.003235934359956394
XLY,2018-02-01,107.139999,107.970001,106.519997,106.610001,9353400,105.289963,-0.011130695762168963
XLY,2018-02-02,107.07,107.989998,105.360001,105.589996,10690700,104.282593,-0.0095675786304531
XLY,2018-02-05,104.709999,106.230003,101.099998,102.029999,23046500,100.76667,-0.03371533924170833
XLY,2018-02-06,100,104.849998,99.739998,104.639999,22332500,103.344353,0.025580710367822945
XLY,2018-02-07,104.720001,106.190002,104.290001,104.32,13137000,103.02832,-0.003058057753770105
XLY,2018-02-08,104.459999,104.730003,100.080002,100.160004,15742000,98.91983,-0.039877288108745135
XLY,2018-02-09,101.139999,101.669998,97.099998,100.830002,21397600,99.581528,0.0066892351108973624
XLY,2018-02-12,101.790001,102.769997,100.75,102.199997,12559500,100.934563,0.013587208663839556
XLY,2018-02-13,101.790001,102.970001,101.620003,102.730003,5150800,101.458008,0.0051859837150134425
XLY,2018-02-14,102.239998,104.57,102.160004,104.370003,6731300,103.077698,0.01596414153922665
XLY,2018-02-15,105,105.300003,103.870003,105.300003,5590800,103.996185,0.008910627786817615
XLY,2018-02-16,104.970001,105.629997,104.559998,104.790001,4748600,103.4925,-0.004843302665381355
XLY,2018-02-20,104.510002,105.599998,104.059998,104.470001,5875700,103.176468,-0.0030536705558374955
XLY,2018-02-21,104.940002,106.010002,104.32,104.32,4953100,103.02832,-0.001435870047422072
XLY,2018-02-22,104.830002,105.25,104.139999,104.449997,4443800,103.156708,0.0012461428081134152
XLY,2018-02-23,105.050003,105.910004,104.559998,105.910004,2993000,104.598633,0.013978005191868093
XLY,2018-02-26,106.309998,106.800003,106.050003,106.800003,3898400,105.477615,0.00840337942083802
XLY,2018-02-27,106.900002,106.900002,104.519997,104.540001,6284600,103.245598,-0.021161049195130177
XLY,2018-02-28,105.099998,105.540001,104.050003,104.07,6049400,102.78141,-0.004495959236925584
XLY,2018-03-01,104.18,104.68,101.919998,102.949997,9530300,101.675285,-0.010761916965334462
XLY,2018-03-02,101.809998,103.230003,101.290001,103.050003,7265400,101.774048,9.713570018514694e-4
XLY,2018-03-05,102.669998,104.5,102.419998,104.279999,4994000,102.988815,0.011935921031656305
XLY,2018-03-06,104.760002,105.050003,104.07,105,7575900,103.699905,0.00690453618676945
XLY,2018-03-07,103.959999,104.540001,103.440002,104.290001,5263700,102.998688,-0.006761983050996956
XLY,2018-03-08,104.690002,104.800003,104.300003,104.620003,4036500,103.324608,0.0031643121512381356
XLY,2018-03-09,105.330002,106.269997,105.040001,106.239998,3624700,104.924553,0.01548464621322343
XLY,2018-03-12,106.589996,107.029999,106.339996,106.589996,4256600,105.270203,0.00329427183740294
XLY,2018-03-13,107.18,107.400002,105.669998,105.839996,5662900,104.529495,-0.0070362550740022956
XLY,2018-03-14,106.389999,106.529999,105.440002,105.709999,5122700,104.401108,-0.0012282370636154116
XLY,2018-03-15,105.919998,106.150002,105.419998,105.599998,3839800,104.29246500000001,-0.0010406307182102559
XLY,2018-03-16,105.32,105.870003,105.169998,105.18,3346800,104.18351,-0.0010447063457557082
XLY,2018-03-19,104.790001,104.830002,103.110001,103.870003,5727400,102.885925,-0.012454802108318286
XLY,2018-03-20,104.059998,104.639999,104.010002,104.489998,3706700,103.500038,0.00596887280743208
XLY,2018-03-21,104.620003,105.199997,104.089996,104.410004,5269700,103.420807,-7.655166271534064e-4
XLY,2018-03-22,103.599998,103.860001,102.139999,102.190002,6906800,101.22184,-0.02126232683525664
XLY,2018-03-23,102.480003,102.75,100.150002,100.18,8944600,99.230881,-0.019669263076031895
XLY,2018-03-26,101.800003,103.239998,100.809998,103.139999,7280300,102.162834,0.029546779898084408
XLY,2018-03-27,103.559998,103.779999,100.470001,101.120003,6256300,100.16198,-0.019584950041616978
XLY,2018-03-28,100.540001,101.209999,99.18,99.889999,12974400,98.943626,-0.012163837016800239
XLY,2018-03-29,100,101.790001,99.279999,101.290001,7642500,100.33036800000001,0.014015475842779512
XLY,2018-04-02,100.68,100.82,97.480003,98.43,11888300,97.497459,-0.028235807926070833
XLY,2018-04-03,99.010002,100.220001,98.260002,99.68,7307900,98.735619,0.012699407889184
XLY,2018-04-04,98.169998,101.709999,98.07,101.510002,7442800,100.548279,0.018358724220891354
XLY,2018-04-05,102.370003,103.199997,101.800003,102.870003,4231500,101.895401,0.013397762879661101
XLY,2018-04-06,101.879997,102.790001,100.029999,100.68,8764900,99.726143,-0.02128906681470355
XLY,2018-04-09,101.389999,101.980003,100.339996,100.440002,4260100,99.488419,-0.002383768115849061
XLY,2018-04-10,101.730003,101.93,100.75,101.660004,6412200,100.696861,0.012146559490507247
XLY,2018-04-11,101.239998,102.269997,101,101.349998,4790100,100.389793,-0.0030494297136034465
XLY,2018-04-12,101.970001,102.379997,101.43,101.790001,3057400,100.825623,0.0043413776139571425
XLY,2018-04-13,102.330002,102.510002,100.849998,101.220001,4434200,100.261032,-0.0055996777723852365
XLY,2018-04-16,101.849998,102.370003,101.389999,101.980003,4240500,101.013832,0.00750840067155889
XLY,2018-04-17,102.970001,104.080002,102.970001,103.879997,4075500,102.895828,0.01863107222781135
XLY,2018-04-18,104.239998,104.870003,104.150002,104.370003,3298300,103.38118,0.00471692593794959
XLY,2018-04-19,104.389999,104.629997,103.540001,104.040001,8064500,103.054306,-0.0031618327436386817
XLY,2018-04-20,104.129997,104.269997,102.559998,102.980003,6255100,102.004356,-0.010188317604118313
XLY,2018-04-23,103.160004,103.870003,102.580002,103.199997,7041000,102.222267,0.0021362911207438717
XLY,2018-04-24,103.779999,103.989998,101.029999,101.57,6702000,100.607712,-0.01579455286390774
XLY,2018-04-25,101.379997,102.239998,100.519997,101.989998,9397300,101.023727,0.004135020981294035
